UserId;StoryId;Questionnaire;QuestionNumber;Question;Answer,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;27;What types of genres of books do you find most enjoyable? Select all that apply.;Classic novels,Fantasy,Horror,Modern fiction,Science,Science fiction,Self-help,Special interests / hobbies,Biographies / autobiographies,Crime, thrillers and mystery,,,,,,,,,,,,,
6;7;questionnaire12;28;How many books did you read for pleasure during the last year (2019)?;7-15 books,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;29;What is your primary reason for reading?;Enjoyment,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire21;1;Did you enjoy reading the story?;A little,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire21;2;Did you find the story interesting?;Moderately,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire21;3;Have you previously read the story?;No, this was my first time reading this story,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire21;4;What was your primary reason for reading the short story?;Enjoyment,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire21;5;How far did you read in the story?;100% - The entire story,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire21;6;Please estimate how much time you spent reading the story.;40,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire21;7;Please write a short summary of the story:;The story starts with some women talking about their neighbour across the road who has adopted a baby and they are gossiping about it. The story then changes to following this women (Eduora) as she walks the 'baby' in a pram to the Lancaster sisters house. Everyone is sceptical as the baby is said to never cry and she is not tired out from having a baby. As she is leaving the house she is informed that someone from her past. Harry, is back in the town and staying at an inn and it is hinted that they were once in love. On her walk home she runs into Harry who offers to marry her and bring up the baby together, she runs away and does not give him an answer but promises to in a few days. When that day arrives he goes to her house and it is the first we hear of the baby startling. She then confesses to Harry that all this time she has not actually been pushing a baby in the pram, but in fact linen for the Lancaster sisters as she had ran out of money and was ashamed of doing such a job. Harry is confused as there is a baby in the house and she confesses that she only adopted him the previous day as she did not want to deceive Harry when he made her the offer. They agree to get married and raise the baby together. ,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;8;While I was reading the story, I was thinking about how much I enjoyed it;5,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;9;Reading this story was an activity that I couldn’t do very well;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;10;I read the story because I had to;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;11;Reading the story was a boring activity;2,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;12;I was anxious while reading the story;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;13;It was important to me to do well at reading the story;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;14;I would describe reading this story as very interesting;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;15;I was pretty skilled at reading the story;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;16;I felt like it was not my own choice to read the story;2,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;17;I didn’t put much energy into reading the story;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;18;I thought that reading this story was quite enjoyable;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;19;I think I read the story pretty well, compared to others;6,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;20;I read the story because I had no choice;2,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;21;I read the story because I wanted to;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;22;Reading the story was fun to do;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;23;I think I am pretty good at reading stories;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;24;I put a lot of effort into reading the story;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;25;I felt pressured while reading the story;2,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;26;Reading the story did not hold my attention at all;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;27;I felt like I had to read the story;2,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;28;I enjoyed reading the story;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;29;I didn’t try very hard to read the story well;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;30;I didn’t really have a choice about reading the story;2,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;31;I tried very hard to read the story;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;32;I believe I had some choice about reading the story;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;33;I am satisfied with my performance at reading this story;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;34;After working on reading this story for a while, I felt pretty competent;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;35;Please tell us of any issues you had with the ORB Reader below:;No issues. ,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire22;36;Please leave any other comments or suggestions below:;,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;1;Which of the following devices do you own? Select all that apply;Laptop,Smartphone,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;2;How often do you read academic journals or conference articles <b>electronically</b>?;A few times a week,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;3;How often do you read nonfiction books <b>electronically</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;4;How often do you read fiction books <b>electronically</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;5;How often do you read graphic novels <b>electronically</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;6;How often do you read magazine, newspaper or other articles <b>electronically</b>?;A few times a week,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;7;How often do you read short stories or fanfiction <b>electronically</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;8;How often do you read textbooks <b>electronically</b>?;A few times a week,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;9;How often do you use a dedicated e-reader with an e-ink screen (such as Kindle Paperwhite, Kobo or Nook) for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;10;How often do you use a desktop computer for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;11;How often do you use a laptop for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;12;How often do you use a smartphone for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;13;How often do you use a tablet computer (such as an iPad) for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;14;How often do you use a small device with internet access such as a smartwatch or an iPod for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;15;How often do you use physical print books (hardcover or paperback) for reading <b>recreationally</b>?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;16;How often do you use a dedicated e-reader with an e-ink screen (such as Kindle Paperwhite, Kobo or Nook) for reading <b>as part of work or study</b>?;Never,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;17;How often do you use a desktop computer for reading <b>as part of work or study</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;18;How often do you use a laptop for reading <b>as part of work or study</b>?;Every day,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;19;How often do you use a smartphone for reading <b>as part of work or study</b>?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;20;How often do you use a tablet computer (such as an iPad) for reading <b>as part of work or study</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;21;How often do you use a small device with internet access such as a smartwatch or an iPod for reading <b>as part of work or study</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire3;22;How often do you use physical print books (hardcover or paperback) for reading <b>as part of work or study</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;1;I think that recreational reading is boring;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;2;I think recreational reading is enjoyable;6,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;3;I am skilled at reading;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;4;I like recreational reading;6,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;5;I put a lot of effort into recreational reading;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;6;After reading for a while, I feel skilled;3,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;7;I read recreationally for the fun of it;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;8;I think I am good at reading;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;9;While I am reading recreationally, I think about how much I enjoy it;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;10;I am satisfied with how well I can read;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;11;I put energy into recreational reading;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;12;If I could choose what to do right now, I would read recreationally;3,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;13;I try hard when I read recreationally;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;14;I would describe recreational reading as interesting;6,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;15;I try hard to read well;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;16;It is important to me to do well at reading;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;17;Overall, I enjoy recreational reading;6,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;18;Reading is an activity that I can do well;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;19;Recreational reading is fun to do;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire11;20;I think I read well, in comparison to others;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;21;Age;21,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;22;Gender;Male,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;23;Is your native language English?;No,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;24;What is the highest level of education you have attained?;High school,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;25;How often do you read for pleasure?;A few times a year,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;26;How often do you read as part of work or study?;Every day,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;27;What types of genres of books do you find most enjoyable? Select all that apply.;Biographies / autobiographies,Classic novels,Fantasy,Travel,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;28;How many books did you read for pleasure during the last year (2019)?;1-2 books,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire12;29;What is your primary reason for reading?;Enjoyment,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire21;1;Did you enjoy reading the story?;Not at all,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire21;2;Did you find the story interesting?;Not at all,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire21;3;Have you previously read the story?;No, this was my first time reading this story,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire21;4;What was your primary reason for reading the short story?;Boredom,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire21;5;How far did you read in the story?;100% - The entire story,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire21;6;Please estimate how much time you spent reading the story.;30,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire21;7;Please write a short summary of the story:;A story takes place in the Universe 'Arena'. Tunuvum of Genasi comes with humans to the Solar system. Tunuvum was paying some sort of debt to humanity. At the end there is some sort of attack and their bodies start dissolving.,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;8;While I was reading the story, I was thinking about how much I enjoyed it;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;9;Reading this story was an activity that I couldn’t do very well;6,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;10;I read the story because I had to;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;11;Reading the story was a boring activity;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;12;I was anxious while reading the story;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;13;It was important to me to do well at reading the story;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;14;I would describe reading this story as very interesting;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;15;I was pretty skilled at reading the story;2,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;16;I felt like it was not my own choice to read the story;6,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;17;I didn’t put much energy into reading the story;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;18;I thought that reading this story was quite enjoyable;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;19;I think I read the story pretty well, compared to others;2,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;20;I read the story because I had no choice;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;21;I read the story because I wanted to;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;22;Reading the story was fun to do;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;23;I think I am pretty good at reading stories;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;24;I put a lot of effort into reading the story;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;25;I felt pressured while reading the story;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;26;Reading the story did not hold my attention at all;6,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;27;I felt like I had to read the story;5,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;28;I enjoyed reading the story;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;29;I didn’t try very hard to read the story well;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;30;I didn’t really have a choice about reading the story;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;31;I tried very hard to read the story;6,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;32;I believe I had some choice about reading the story;3,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;33;I am satisfied with my performance at reading this story;2,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;34;After working on reading this story for a while, I felt pretty competent;2,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;35;Please tell us of any issues you had with the ORB Reader below:;I had no issues with ORB Reader, it was very convenient.,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire22;36;Please leave any other comments or suggestions below:;,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;1;Which of the following devices do you own? Select all that apply;Dedicated e-reader with an e-ink screen,Laptop,Smartphone,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;2;How often do you read academic journals or conference articles <b>electronically</b>?;Every day,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;3;How often do you read nonfiction books <b>electronically</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;4;How often do you read fiction books <b>electronically</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;5;How often do you read graphic novels <b>electronically</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;6;How often do you read magazine, newspaper or other articles <b>electronically</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;7;How often do you read short stories or fanfiction <b>electronically</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;8;How often do you read textbooks <b>electronically</b>?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;9;How often do you use a dedicated e-reader with an e-ink screen (such as Kindle Paperwhite, Kobo or Nook) for reading <b>recreationally</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;10;How often do you use a desktop computer for reading <b>recreationally</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;11;How often do you use a laptop for reading <b>recreationally</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;12;How often do you use a smartphone for reading <b>recreationally</b>?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;13;How often do you use a tablet computer (such as an iPad) for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;14;How often do you use a small device with internet access such as a smartwatch or an iPod for reading <b>recreationally</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;15;How often do you use physical print books (hardcover or paperback) for reading <b>recreationally</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;16;How often do you use a dedicated e-reader with an e-ink screen (such as Kindle Paperwhite, Kobo or Nook) for reading <b>as part of work or study</b>?;A few times a year,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;17;How often do you use a desktop computer for reading <b>as part of work or study</b>?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;18;How often do you use a laptop for reading <b>as part of work or study</b>?;Every day,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;19;How often do you use a smartphone for reading <b>as part of work or study</b>?;A few times a week,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;20;How often do you use a tablet computer (such as an iPad) for reading <b>as part of work or study</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;21;How often do you use a small device with internet access such as a smartwatch or an iPod for reading <b>as part of work or study</b>?;Never,,,,,,,,,,,,,,,,,,,,,,,
7;2;questionnaire3;22;How often do you use physical print books (hardcover or paperback) for reading <b>as part of work or study</b>?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;1;I think that recreational reading is boring;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;2;I think recreational reading is enjoyable;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;3;I am skilled at reading;6,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;4;I like recreational reading;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;5;I put a lot of effort into recreational reading;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;6;After reading for a while, I feel skilled;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;7;I read recreationally for the fun of it;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;8;I think I am good at reading;6,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;9;While I am reading recreationally, I think about how much I enjoy it;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;10;I am satisfied with how well I can read;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;11;I put energy into recreational reading;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;12;If I could choose what to do right now, I would read recreationally;2,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;13;I try hard when I read recreationally;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;14;I would describe recreational reading as interesting;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;15;I try hard to read well;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;16;It is important to me to do well at reading;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;17;Overall, I enjoy recreational reading;5,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;18;Reading is an activity that I can do well;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;19;Recreational reading is fun to do;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire11;20;I think I read well, in comparison to others;5,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;21;Age;21,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;22;Gender;Female,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;23;Is your native language English?;No,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;24;What is the highest level of education you have attained?;High school,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;25;How often do you read for pleasure?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;26;How often do you read as part of work or study?;A few times a week,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;27;What types of genres of books do you find most enjoyable? Select all that apply.;Fantasy,Romance,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;28;How many books did you read for pleasure during the last year (2019)?;3-6 books,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire12;29;What is your primary reason for reading?;Enjoyment,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire21;1;Did you enjoy reading the story?;Somewhat,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire21;2;Did you find the story interesting?;Moderately,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire21;3;Have you previously read the story?;No, this was my first time reading this story,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire21;4;What was your primary reason for reading the short story?;Boredom,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire21;5;How far did you read in the story?;100% - The entire story,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire21;6;Please estimate how much time you spent reading the story.;40,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire21;7;Please write a short summary of the story:;A group of workers restoring an icebreaker are trapped on the wrong side of the river when the ice start to break. They decide to cross despite the risk to get to the town on the other side of the rivwe for the Easter celebrations.,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;8;While I was reading the story, I was thinking about how much I enjoyed it;3,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;9;Reading this story was an activity that I couldn’t do very well;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;10;I read the story because I had to;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;11;Reading the story was a boring activity;3,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;12;I was anxious while reading the story;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;13;It was important to me to do well at reading the story;6,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;14;I would describe reading this story as very interesting;3,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;15;I was pretty skilled at reading the story;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;16;I felt like it was not my own choice to read the story;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;17;I didn’t put much energy into reading the story;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;18;I thought that reading this story was quite enjoyable;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;19;I think I read the story pretty well, compared to others;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;20;I read the story because I had no choice;3,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;21;I read the story because I wanted to;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;22;Reading the story was fun to do;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;23;I think I am pretty good at reading stories;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;24;I put a lot of effort into reading the story;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;25;I felt pressured while reading the story;5,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;26;Reading the story did not hold my attention at all;2,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;27;I felt like I had to read the story;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
8;8;questionnaire22;28;I enjoyed reading the story;5,,,,,,,,,,,,,,,,,,,,,,,
