BookId;Summary;CharactersPlacesNationalitiesScore;SubjectiveDetailScore
1;It's a classic Sherlock Holmes story, where Holmes and Watson are brought to the countryside on the word of a young lady whose childhood friend has been accused of murdering his father (McCarthy). The evidence seems damning but Holmes solves the case rapidly. It was the lady's father (Turner) who killed McCarthy because of past grievances associated with how Turner gained his wealth and McCarthy's desire to see their children marry.;4;2
8;In late Spring in a Russian town, Ossip - the foreman - is overseeing his workers. The narrator, a inspector sent by the contractor who is a relative, comes to check up on the workers. The narrator seems to be a young man. Ossip starts to sing and the others join in - he says this, along with the pub, will help motivate the workers. Some time passes and the workers decide to take the device over ice to the other side, knowing this is a risk, spurred on by Ossip. As they go over, the ice breaks and one falls in - Mokei I think? - and then Boer falls in too. They fall in ice cold water and need rescued in dangerous conditions. They get to the other side and face being charged by the police.;4;2
7;An aging woman runs out of money and starts doing laundry for a neighbouring family who've lost their maid. Because of family pride she conceals this by acting like she has adopted a baby whom she pushes around in an old carriage. Her former admirer returns to town and to show him that, after all those years, his feelings are returned by her and that she finally accepts him, she adopts an actual baby.;0;2
4;The story is about Harrietta Fuller, who is an actress on Broadway. She doesn't earn much money but she is still respected and fairly well known in her field. After her maid retires because her daughter, who Harrietta initially gave jobs to on Broadway, moves to Hollywood, she takes up an lucrative offer to be in a film. Once she arrives in Hollywood, she realises she was only given the part because her ex-maid's daughter recommended her as a favour and that the part is actually a minor one. Moreover, she is seen as old in Hollywood, though she is just 37. Realising that she misses and prefers her life in New York, she breaks her contract as soon as she can and moves back.;4;3
6;A poor American finds himself in London with no money or food. He finds himself being given a million pound note by two brothers who have placed a bet. The story follows what the man does with the money for a month, until he has to go revisit the brothers, as was stated in the letter given to him with the pound note.;2;2
6;A man named Henry lands in London with everything lost- even his clothes were shabby. Penniless he wandered for food. Henry got noticed by two English men and becomes a part of there bet- wether a wise man could survive with a million pound bill in London without being caught and sent to jail. Henry out of hunger starts his journey with the million pound bill at a restaraunt and to his surprise the retaraunt owner owed him the amount of food. Similarly, did the owner of the cloth shop and the hotel where he stayed. Henry becomes a talk of newspapers and one day goes to see the American minister (his dad's friend) . He promises the Minister to atend the dinner for not showing up for so long and meets his friend Lloyd and a lovely lady Partia at the dinner. he falls in love with partia and tells her entire story of his million pound bill. On his way back with Lloyd, he gets to discuss LLoyds' stay and venture to sale his mine. He asks Lloyd to use his name to selll the mine that Lloyd wasnt able to sell earlier. They both share the profit. And finally on his 30th day with the million pound bill, he goes to the Englishmen's home with Partia to return the bill to them and share the story of his stay. There Henry finally comes to know that Partia was the step daughter of the man who won the bet. Though he decided to not to ask any gift in return for winning the bet for him, but suddenly takes a back turn on knowing the truth and asks the English man to marry her daughter with Henry. Finally Henry and Partial live together happily and keeps the gift given by partia's Step dad as a memorablia to Henry's million pound bill journey in London.;6;3
1;Sherlock Holmes is called on the case of a man who has been murdered, Charles. All clues point to his son James, who was spotted following him into a clearing having heard the call of 'Cooee', carrying a gun, and arguing with him. After speaking to the local townspeople and investigating the scene of the crime, Holmes discovers it was not James who killed his father, but rather John, an old acquaintance. Charles wanted his son to marry John's daughter, blackmailing John with his criminal past in Australia. But John does not want James to marry his daughter, for he does not want Charles' blood to mix with his. John signs a statement saying that he committed the murder - but this is not needed as Holmes is able to acquit James.;5;3
8;A guy in Russia goes to a work site after his father sends him there to check on the workers. The inspector is much younger than the manager and this causes tension. The men sing and drink to pass the day. They try to move the icebreaker but on their way several of them fall into icy waters. They are rescued, taken to the other side to see the police and speak.;1;2
2;The story is about powers from two different lives meeting so that they form a mutually beneficial relationship. Saul is the lead commander of humanity who sets out on a mission to meet the commander of an alien world, Tunuvan. The two commanders get along really well on introduction as they get to know how their respective worlds work. Tunuvan comes with Saul out of the alien world . He is amazed by so many things in his new adventure and finds himself almost flying out of a rocket as he tries to comprehend different earth is and experience that almost more physically. Saul is quick to save him and that strengthens their bond. Tunuvan is introduced by Saul to a board that oversees humanity and the earth. The point of the meeting is to find how the aliens can be of benefit to humanity and the other way round. It is quite an intense discussion with no clear areas to focus on. Saul's group has one priority at the moment , Saul has come with information on the identity of the enemy likely to attack the earth and the aliens cannot help much with that. At the end of the discussion, Saul leaves to his residence with his guest Tunuvan. On arrival Elizabeth, who Saul regards as his 'bodyguard', alerts him of a private incoming message. The message was likely a trap to help with the attack of the commander. Tunuvan goes out of his way and saves Saul's life. Then they see something that could work out- the aliens could offer friendship and protection to humanity.;3;3
4;"The story is about Harrietta, an actress in New York who is approaching the age of forty. She is beautiful and talented but is insecure about her age. In New York, although she is not very famous, she does well and is appreciated for her craft within the theatre community. Her Irish maid's young daughter gets a job as an actress in a movie and makes a lot of money. Harrietta is offered a film contract with a six month duration and she accepts. She leaves Ken, with whom she has a relationship, and puts her apartment in New York up for rent. The film is an adaptation of a book, but where her character was previously the lead, now the Irish maid's daughter is the lead. Harrietta does not enjoy herself, she is bored of waiting and finds it hot. Finally, she is asked to say a line she associates with being a lesser part, """"oh, there you are"""". It is a line normally said to her in the theatre. She ends her contract early and returns to New York and Ken and the theatre, where she is happy and reassured again.";3;3
3;Johnathan, a monster hunter, arrives back to his family home in Buckley with Fran, a rodeo performer. The two had killed a questing beast and Fran decided to follow Johnathan back home to lean more about the mythical creatures he and his family study. She is welcomed into the home and attends a celebration with many talking mice. Johnathan's parents, Enid and Alexander, are initially wary of Fran but she wins them over with her appreciation of the creatures she sees.;5;2
9;An experienced hunter named Rainsford, after falling overboard from his ship bound for New York, finds himself on an island owned by an eccentric hunter who has turned his game to that of lost sailors. With Rainsford being his newest prey he must spend 3 days on the island trying to outwit and outlive the hunter who has never lost in order to earn his freedom.;2;2
3;Fran saved Johnny's life in Arizona, and he brought her back to meet his parents in Michigan. She was initially overwhelmed by the family's collection of taxidermy. Following lunch, Fran overheard Johnny and his parents talking, with his parents warning him about introducing a girl into their lives. Fran planned to leave, and was in the stables preparing her horse when Johnny's mother came and took her on a walk. During the walk, Johnny's mother warned Fran of the danger the family is in, and the danger she would be putting herself in if she decided to stay. As a result of the discussion the pair had during the walk, Fran decided to stay.;4;3
2;Far into the future humans have discovered and are trying to stabilise a new universe, where a lot of their advanced technology does not work namely AI. The captain of the CSF Saul meets an Alien from the faction in the arena and brings him back to the milky way to discuss their alliance. On the way back after Saul is back in contact with his AI discovered that there is or are hostile parties from earth trying to destabilise the alliance. On return to earth Tunuvun is mesmerised by the milky way and is unaware of the vacuum and tries to go outside. Saul and other important leaders from earth discuss their arrangements for defence of the arena. As Saul shows Tunuvun his quarters he is seemingly attacked by Tunuvun but the reasons for Tunuvuns violent response is to protect Saul from a deadly nanochemical which he was about to inhale after touching his desk. Tunuvun safely carries Saul to an isolated part of the aircraft and they both survive. The AI onboard determine the nature of the attack and Saul and Tunuvuns relationship is strengthened.;3;3
2;The story was basically about building relationships that would allow for collaboration between human beings and aliens. It also points out differences between the lifestyles of AI, human beings and aliens and how these can be interlinked for the benefit of each of the species.;0;1
1;A man, Mr McCarthy, lives on the land of the wealthy Mr Turner whom he has known from the past, and they are thought to be friends. Mr Turner has a daughter and Mr McCarthy has a son. Mr McCarthy is murdered, and the culprit is thought to be his own son, but the famous detective Sherlock Holmes and his friend Dr Watson are called in to take a closer look at the case as Mr Turner's daughter believes the son to be innocent. Holmes uses his unique style of deduction to prove that McCarthy's son is indeed innocent, and it was in fact Mr Turner who killed Mr McCarthy because Mr McCarthy was blackmailing him. As Mr McCarthy, the victim, was a terrible man, and Mr Turner, the murderer, was soon to die of diabetes anyway, Holmes and Watson help acquit Mr McCarthy's son on the grounds of lack of proof, and do so without indicting Mr Turner. Mr Turner dies several months after of natural causes and without scandal, leaving Mr McCarthy's son and Mr Turner's daughter able to pursue a possible future romance.;4;3
6;An young American man working in San Francisco takes a boat and ends up in London by mistake. In London he has no money or possessions and as such looks really poor. Two rich men see him and give him a million pound note, telling him they have a bet and will be back in a month. The young American goes to a local cafe and when they see the value of the note, they don't ask for payment and give him free food. He then starts to use the note all over town to get things without actually exchanging money at that point. He becomes famous in the local press and eventually meets a young woman at a party. They fall in love and plan to marry. After the month, he goes to see the two rich men and find out his fiance is actually one man's stepdaughter. They agree to marry.;3;2
8;It was about a group of young men that were stranded across the river as the icebreaker they built failed. They followed Ossip's lead and reached the other side of the river safely. The author was not sure if he has liked Ossip more at the end of it but he guessed he would have done if if he could turn back time. Human soul is a winged thing to Ossip where it flies even at sleep.;1;1
2;Begins in a place called the Arena, and the main character Saul meets an alien called who is new to this arena. They go through the solar system, with Saul talking to his internal AI Elizabeth as well as to the alien. They meet with the other politicians of Humanity to discuss defence strategies against a potential attack. Once back in their quarters an attack is launch on Saul but the alien saves him and they agree that his faction can be the body guards of the human species.;4;2
1;The story was about a young man that was wrongly convicted to had murdered his father. Although all the evidence pointed to the young man, Mr Holmes was somewhat believed in his innocence. After much investigation by Mr Holmes, it was discovered that the deceased man was murdered by the father of the young girl he was pressuring his son to marry. The young man was acquitted following the presentations of Mr Holmes and the confessions of the murderer were never made known to the court and the public.;1;2
1;The story was about the murder of McCarthy next to Boscombe Pool which Sherlock and his assistant Watson investigate. His son is accused but Sherlock is asked to prove his innocence. By examining all the evidence and clues, including footprints, at the crime scene (near the pool), Sherlock comes to the conclusion that John Turner is the murderer and confronts him with Watson. In the end, the son is acquitted and John Turner dies several months later.;5;3
6;Henry (the protagonist) is an American who went sailing and got lost. He was picked up by a ship who made him work for his passage then he landed in England, presumably penniless and looking hungry. Two gentleman - who had made a bet with one another - notice him and give him an envelope. They tell him to open it at home. Inside is million pound note and a message to come back in 30 days. Henry tries to revisit the gentlemen but they had left. He spends the next 30 days trying to live in London, becoming the talk of the town. Since his note is so large, he never has to pay for anything - from food, to accomodation, to suits - as nobody ever has enough change to give him. He meets several influential people, including Portia with whom he falls in love. At the end of the 30 days, he goes back to visit the men with Portia and with the million pound note intact. It turns out Portia is one of the men's step-daughters and that Henry - thanks to meeting an old friend - has enough money in the bank for them to live and marry.;4;3
2;The story takes place in space. It's characters are from all over the solar system. The story begins with the protagonist Saul, a commander of one of the planets, meeting another alien Tunuvun. Tunuvun is leader of the genasi and has come to Saul's planet for the first time. Both characters go to a meeting with other important leaders and they discuss plans and preparations for a impending war. Tunuvun offers genasi assistance to Saul's people. Afterwards Saul and Tunuvun go to Saul's living quarters where there is an attack on Saul, however Tunuvun acts quickly and saves Saul.;4;3
6;From being a man who mines and a rug wearer to the talk of London. He was able to use his good reputation and critical thinking to win Portia and a million pound of a bet between two brothers. Who was wondering whether a stranger without anything and where to go in London will be able to survive with a million pond check which had a complicated story behind cashing it out at the bank of London after 30 days? These two brothers did a lot of interviews just to get the right person, they got one at last after a series of interviews. It was the man who was wearing rugs and had only a dollar when he first arrives in London, getting himself food was a big challenge but winning this contract if I may say changed his life. He was able to think through and use this million-pound cheque to get whatever he wants, from fist going to the tailor shop to change his clothing to a good living place and also earning a position at the dinner table of the Dukes and Dutches, ministers and other personnel. This was the place he got the beautiful lady called Portia and he was surprised it was love at first sight. At long last after the 30 days ended he was in a relationship with Portia and he went with her to the two brothers place after their travel back home. It turns out that brother B won and he finally lived with Portia and us a son-in-law to one of them and with the sum of money.;2;3
4;"It is a non-fiction story about a girl with a dream to become a star for acting in a production she believed in. The story gives a glimpse into her childhood and her motivations to become an actress/performer from her father's experience as a man who settled for a career he clearly isn't meant for. However as years pass, she grows old and concerned as to whether she will ever find that one production that captures her personality and isn't pretentious. The world doesn't seem to capture her authenticity and therefore missing out on a lot. During her brokenness she finally sees a chance at stardom and better pay in Hollywood but that turns out to be the result of the fortune her maid and her daughter landed on. Things don't chance in Hollywood, as she is cast as an extra and everyone around her is almost half as old as she is. She feels out of place. Until a time when she snaps and quits and goes back to New York; back to the roots where she may finally have a chance at the kind of stardom she has always looked forward to and deserved.";2;3
5;The story centres around Daniel Upton and his close, but socially reclusive friend, Edward Derby. Derby was coddled as a child by his parents and retained a childish boyishness well into his adulthood. After his mother died and when Derby was well into his thirties he met Asenath Waite, a classmate of his at Miskatonic university. Asenath was the daughter of Ephraim, who was said to possess the abilities to conjure dark magic. Asenath was then later wed to Derby, though her former classmates would tell of her hypnotic abilities. Asenath could seemingly cause people to disassociate from reality. Over the years, there were continuous changes in Derby's personality, and he even gained the ability to drive despite never learning himself. Upton would go months without seeing Derby, but one time found him in a crazed state by the side of the road. Derby confides in Upton, suggesting that Asenath is not who she seems. However, a force pulls over Derby and he suddenly grabs ahold of the car wheel. After a few months, Derby shows up at Upton's door, suggesting that he may have found a way to keep Asenath from manipulating his body. He states that Asenath has departed for New York and that he can finally move on. However, Upton notices that Derby slips from reality and he is later sent to an Asylum in the hopes that he may one day recover. Later, Upton gets a message from the asylum stating that Derby's sanity has returned but he only has a short term memory. Upon visiting Derby, Upton realises that this is not the Derby he once knew and is instead the possessed Derby he encountered that night in the car. Upton then awakes from a knocking at his door which had the same two-three knock signal as Derby. On opening the door, Upton finds a small hunched figure in Derby's coat with a letter. The messenger can not speak, but the letter explains that Derby killed Asenath, smashing her head and burying her in the cellar. However, Asenath's (who may be her father, Ephraim) soul is detached from her body and can only be destroyed by cremation. Asenath was able to possess Derby in the sanitorium, so the hunched figure at the door was in fact Derby inhabiting Asenaths rotten corpse. The letter hints that Ephraim originally possessed his daughter and has now done the same to Derby, after wanting a man's body. The note implores Upton to go to the sanitorium to kill Derby, who is now possessed by Ephraim.;5;3
3;"A man and a woman are monster hunters travelling to a small homestead in Michigan where the man's (Johnny) parents live. They arrive at his parent's house and are greeted by his mother who has a slightly unusual coldness in her attitude towards the daughter. Once there they rest and wash before heading down for a meal of cottage pie. The woman then goes into the attic to celebrate a religious festival organised by the mice commune but grows tired and falls asleep. Upon waking up she overhears Johnny's family chastising him for bringing her from Arizona to Michigan and announces that she will depart soon. However, his mother takes her into a forest where they discover an unusual creature which is colloquially named a """"Fricken"""" due to its part frog part chicken appearance. The passage concludes with the implication that the girl will stay.";4;3
9;The story was about an american hunter who on a travel due to certain circumstances came across another hunter, on an island seamen feared, a general who had grown tired of hunting animals but instead had resulted to hunting humans because he had concluded that animals were without reason and humans would give a better challenge. The american hunter and the cossack general squared up when he wouldnot hunt with him and it was hunter against hunter.;1;2
7;A lonely old woman too proud to admit that she is penniless and starving hides from the entire village. The only people who know the current state well are three sisters living nearby. They pay her for doing their laundry and it as a baby that the woman transports in a pram. One day, love of her youth comes back to the village and she reveals to him her secrets. She also adopts a baby and they end up agreeing to get married and take care of the child together.;0;2
4;An actor in New York is struggling with little wide success, she lands a job earning big money in films after her maid gets her the job. She realises film is all about young people. Returns to the stage world and realises it is more timeless and her age is unimportant.;1;2
4;The story was about Miss Fuller, a stage star who was doing the best at performing in her local company. Although a great actress, she had no wealth to show for her accomplishment. A tempting offer had prompted her to leave for Holywood where she was offered a huge check but lost the glory of being the main attraction on stage. Consequently she blamed her old age for being the reason why she was not the main shine in Holywood. After much stay and dissatisfaction, she decided to return to New York and was embraced by her old company just as she had always been treated in the past while she was there.;3;3
2;It is a Sci-Fi futuristic story, set in space, then on Earth. There is an AI woman called Elizabeth who tells Saul, the main character, what to do. Upon inviting guests from another area of space, Saul finds himself in trouble when he is attacked and infiltrated. There is a bigger risk to Earth that they want to go out and fight.;3;2
8;i cant recall everything but i have read but it is about a group of russian men in their adventures. They were calling some german guy and talking about disturbing peace in the christian community;2;1
2;Weird utopia run by aliens;0;1
6;The story told the tale of a gentleman who has arrived, penniless, in London. Unbeknownst to him, he becomes the object of the experiment of two rich Londoners. The experiment is as follows: the gentleman is given a 1 month loan of a sum of one million pounds, and the form of the loan is a single one million pound note. The experiment hypothesises whether the gentleman will make it through the one month period intact - whether he will resist police investigation for the possession of such a notorious note, whether he will succeed in staying well-fed throughout the during (recall that the gentleman is totally penniless prior to loan receipt). The gentleman navigates his circumstances with upmost deftness. At the end of the one month period, he has found himself a lover, he has secured himself a life of luxury, and he has made capital on his loan. He returns the one million pound note to his lenders, and the three of them (together with his lover) rejoice.;1;3
7;The Yates Pride is about a woman who, finding herself in financial difficulties, does laundry for the Lancaster family. She bumps into Harry, who is reveiled to be a former love interest. He asks her to marry her while thinking she has adopted a baby. She does, in fact, adopt a baby with the help of the Lancaster girls. Later in the week the two former lovers meet and decide to marry in the presence of the adopted baby;2;2
9;The story began with a hunter, Rainsford, talking to someone on a yacht about the island they were passing by,Death Trap or something similar to that. The discussion lead to how Rainsford felt that the huntees feelings are not important in a hunt. This changed when he reached the superstitious island when he fell off the yacht into the ocean. In a way, when he followed the sound of the gun shots, he fell into a death trap and met General Zaroff. At first, he probably found Zaroff as someone nice until he learned Zaroff's definition of the hunt where he hunts real men. Using men who are lost at sea as huntees in the forest he owns. Rainsford is one of the victims but he realized it late. He thought in the beginning the general wanted him to join as a hunter but apparently as a huntee. Forced into a hunt, the hunt began, and Rainsford tried using his skills in the first day to try to outsmart Zaroff with a misleading trail but failed. The second day, Rainsford gain some recognition from General Zaroff when he pulled a Malay mancatcher on General Zaroff and got the man's shoulder injured. The third day, Zaroff came back with hounds ready and this made Rainsford feel like a beast at bay. His last trick was a knife trap and that did not worked wholly as only Ivan, the giant right-hand man of Zaroff is eliminated. Zaroff was still on Rainsford's trail. Rainsford at his edge jumped into the sea and just like that, won the game. A dissapointed Zaroff had a half-hearted good meal that night. Rainsford came back standing behind curtains in Zaroff's room and challenged Zaroff for another hunt. A reversed hunt this time. Rainsford probably won that game when the last sentence said Rainsford slept in an excellent bed.;5;3
8;The story follows a fifteen year old inspector named Makerei at a carpeting company. He is tasked with reporting any stolen items or misdoings on the part of the workmen, but is often convinced by another man to fake his reports. On one outing the workmen get stuck on one side of a body of water when the ice starts to break. As it is Good Friday, they want to return to the town for the festival. The man who orders everyone around, Ossip, tells them to walk across the frozen river to the town and hope that everything will be okay. They walk across and many fall in the water at certain points but they end up making it to the town. Ossip fakes a broken leg so that the police will leave them alone. Makerei and Ossip then walk home.;2;2
9;The story is about a hunter who through unfortunate means finds himself ultimately being the hunted.;0;2
1;Dead man by old man. Not son. The end. Hooray.;0;1
1;Sherlock Holmes and Dr. Watson take the train to solve the murder case of Charles McCarthy. James McCarthy, the son of the victim, is sought to be the prime suspect of the murder. According to a witness, James had an argument with his dad and was seen carrying a gun prior to the murder. However, James claims to be innocent and says he heard his dad saying 'Coeee' and something along the line of a 'rat' as his last words. He also mentions that he had seen a grey coat lying in the murder scene but that it had quickly disappeared as he went to get help. Alice, James' lover, also believes that the latter is innocent. Through investigation, Holmes is able to deduce that the killer is Alice's dad, John Turner, as he is able to connect the dots between 'rat' and 'Ballarat', which is a place in Australia and 'cooee' which is an Australian cry. John Turner confesses to his crimes and mentions that he had killed Charles because he did not want his daughter, Alice, to be married to James. John signs a statement confessing his crimes and Holmes promises him that he would not unveil his secrets unless it is absolutely needed to save James. In the end, James is acquitted and John dies 7 months later.;6;3
2;Two different intelligent life forms from different factions in outer space meet other authority figures in an attempt to form a government alliance to protect their citizens from invasion.;0;2
1;Sherlock Holmes and Watson attempt to solve the murder of McCarthy. McCarthy's son is the primary suspect as he was seen quarrelling with his father just before his murder, but the son denies it and Holmes sees evidence to suggest that it was someone else. McCarthy and his friend Turner had come into money through unsavoury means in Australia, and they had both returned to England and remained in touch. McCarthy was eager for his son James to marry Turner's daughter Alice, however it becomes clear that no one but McCarthy wanted this. After visiting the scene of the crime, Holmes concludes that the murderer was a man with a limp who smoked, and research into the history of the two men reveals that McCarthy's last word referred to the place where he and Turner lived in Australia. This leads Holmes to confront Turner, as he now fits the profile of the murderer. Turner confesses immediately, but explains that he murdered McCarthy because he had been blackmailing him and exploiting his wealth for years and he could not face it if his daughter were forced to marry the son of the man who had done this to him. Holmes sympathises with Turner, and tells him that he will not reveal his account in the trial unless James is wrongly sentenced. In the end, Holmes manages to provide evidence to exonerate James without revealing that Turner was the murderer.;7;3
1;written from the perspective of Watson(I assume) he and Sherlock have to travel to solve a murder case which to everyone else already seems solved and to have an obvious outcome, but off the back of a woman's account of the suspect and sherlocks instincts they try to prove the son innocent and manage to prove another man killed him from the sons account of the day.;2;2
1;Watson goes with Holmes to investigate a murder that Holmes has decided sounds too simple to have been solved correctly by Lestrade. Holmes investigates the area where the murder takes place and makes a number of deductions about the man who committed the murder by following the tracks he left. He summons the murderer and they get a confession out of him, discovering that the whole thing was to do with a would-be marriage as they had suspected. This confession is never used as the accused does not have enough evidence against him to be charged and the case is dropped, with the murderer dying of poor health shortly afterwards.;2;2
5;It is a well written captivating story of a person named Edward. He lived with both his parents , completed his university education nearby his home town. He had only one close friend who he talked to. He got married to a woman who was in practice of cultism. Time to time Edward's character started to change and his friend noticed. At moments Edward went to his friend telling him the problem he has with his wife, that her intention is to take over of his body and be a human again. Edward persistently tries to escape from her that he ended up killing her body. However she still got hold of his body. The story ends with Edward sending a letter to his friend that he should kill the body so that it may not keep on surviving from one body to another.;1;2
7;A mother, Mrs Glenn, and her sister and daughter are sitting in their house observing the house opposite where a woman called Eudora lives. Their friends come round and they start talking about Eudora's affairs and suggest that she is very beautiful. Mrs Glenn and her family know a secret about Eudora that they are excited to tell the others - that she has adopted a baby. Eudora has been seen frequently walking around with a baby's carriage with blue and white linen inside. A short description of Eudora's relations with a man called Henry Lawson is given. A neighbour finds out that Henry Lawson is in town and feels she must tell Eudora. She says a guest is in town and doesn't explicitly say who but Eudora knows immediately. Eudora bumps into Henry Lawson and he confesses her love for her and asks her to marry him. Eudora tells him she can't tell him her answer until Thursday and rushes home. On Thursday, Henry Lawson approches Eudora's mansion and they catch up and reminisce about a time previously spent in one of the mansions old rooms which suggests they have known each other for a long time. The baby in the cot begins to cry and it is revealed to be a boy (before the neighbours were unsure of the baby's gender and suggested that strangely, they had never heard it cry). Harry asks for Eudora's response to marrying him and she first of all tells him that she has a secret. She tells him that the cot she has been pushing around didn't have a baby in it but rather, it was full of linens. She explains that she was low on money and since the Lancaster's were looking for a maid to clean their laundry, Eudora agreed to undertake this job. She didn't want anyone in the neighbourhood finding out, however, so she pretended she had a baby so that she could hide the linen in the cot because she was too proud to confess her financial situation. Harry Lawson asked how she came to have a real baby then and she said she adopted one yesterday after having met him because she was embarrassed about lying to him. He confesses that he has always loved her and she says it is reciprocated. She explains that she avoided him when they were younger because she felt he was going to ask her to marry him but she wasn't able to give him an answer. At the end, the neighbours recall Henry Lawson's presence for over an hour in Eudora's house.;3;3
